Дата просмотра,Кол-во рекламы,Вид рекламы,Количество повторений
7,41,Чемодан,13
7,58,Ролик,13
7,26,Газонокосилки Champion,13
8,31,Сериал,8
8,75,Туристические рюкзак,6
6,17,Вентиляторы Scarlett,10
7,5,Телевизоры Xiaomi,12
7,6,Газонокосилки PATRIOT,9
7,67,Кофеварки и кофемашины DeLonghi,16
8,7,Планшеты Xiaomi,10
8,5,Гироскутеры GT,14
6,78,Умные часы и браслеты Xiaomi,8
8,84,Микроволновые печи Gorenje,10
8,96,Холодильники Beko,13
7,41,Ноутбуки Acer,10
6,37,Планшеты Apple,12
7,67,Компьютерные кресл,8
7,75,Газонокосилки Ресанта,8
7,73,Ноутбуки Acer,7
6,99,Палатки High Peak,9
6,6,Кин,11
7,98,Холодильники Samsung,6
7,82,Холодильники LG,10
8,91,Велосипеды Novatrack,14
7,19,Вентиляторы Scarlett,9
6,58,Туристические рюкзак,6
7,48,Телевизоры Xiaomi,12
7,79,Холодильники Atlant,8
7,36,Велосипеды Stark,17
8,24,Сериал,9
7,85,Планшеты Apple,10
7,57,Планшеты Lenovo,10
8,21,Велосипеды Novatrack,5
6,32,Ноутбуки Huawei,15
6,4,Кофеварки и кофемашины TEENRA,12
6,14,Парфюмерия Killian,8
8,80,Наушники Beats,6
8,6,Кофеварки и кофемашины Bosch,9
6,59,Холодильники Бирюса,9
8,38,Экскурс,9
6,13,Кин,10
7,74,Холодильники Beko,11
6,14,Ноутбуки Acer,6
8,5,Телевизоры Samsung,8
7,85,Телевизоры Xiaomi,12
6,4,Газонокосилки PATRIOT,5
7,16,Умные часы и браслеты Apple,7
8,97,Палатки Tplus,7
8,30,Микроволновые печи Midea,8
8,29,Вентиляторы Scarlett,5
6,88,Наушники Xiaomi,16
6,51,Кондиционеры Electrolux,12
6,16,Вентиляторы Scarlett,12
8,67,Планшеты Lenovo,13
7,99,Ноутбуки Huawei,8
6,4,Умные часы и браслеты Apple,10
6,15,Планшеты Xiaomi,7
8,18,Наручные часы Casio,12
7,85,Купальник,11
7,48,Холодильники Бирюса,12
7,81,Планшеты Xiaomi,15
6,14,Гироскутеры GT,13
8,69,Ролик,11
8,20,Палатки Talberg,10
7,29,Планшеты Apple,9
7,60,Гироскутеры Zaxboard,6
6,24,Планшеты Lenovo,11
6,26,Смартфоны Apple,14
7,98,Холодильники Atlant,5
7,84,Газонокосилки Зубр,10
8,91,Газонокосилки Champion,8
6,36,Палатки Talberg,8
6,66,Холодильники Samsung,8
7,45,Купальник,16
8,83,Концерт,11
7,66,Палатки Alexika,14
8,93,Умные часы и браслеты Samsung,15
8,50,Умные часы и браслеты Xiaomi,16
7,97,Микроволновые печи Maunfeld,10
6,18,Газонокосилки Huter,11
7,46,Кин,13
6,36,Микроволновые печи Maunfeld,6
6,54,Ролик,10
6,45,Сериал,12
6,26,Наручные часы Apple,9
8,48,Кондиционеры Hisense,8
8,13,Экскурс,10
6,91,Холодильники Бирюса,7
8,14,Ноутбуки Lenovo,12
7,98,Вентиляторы Scarlett,6
6,55,Чемодан,13
7,17,Микроволновые печи Bosch,14
6,36,Вентиляторы Centek,6
8,30,Кондиционеры ROYAL Clima,11
7,62,Планшеты BQ,14
7,87,Кин,6
7,57,Холодильники Samsung,12
8,86,Ноутбуки Apple,8
6,88,Кондиционеры ROYAL Clima,11
8,88,Вентиляторы Scarlett,11
8,64,Парфюмерия Giorgio Armani,10
8,41,Концерт,12
6,71,Кофеварки и кофемашины TEENRA,8
7,15,Сумк,14
8,72,Микроволновые печи Midea,5
8,16,Смартфоны Samsung,7
8,31,Купальник,12
8,6,Газонокосилки Ресанта,13
8,4,Газонокосилки Ресанта,7
6,12,Планшеты BQ,9
6,9,Наручные часы Apple,13
8,35,Наручные часы Casio,13
6,18,Наушники Beats,13
8,65,Компьютерные кресл,10
8,24,Вентиляторы Scarlett,5
7,65,Планшеты BQ,6
7,53,Гироскутеры GT,14
7,100,Велосипеды STELS,7
7,85,Холодильники LG,15
8,96,Экскурс,7
7,83,Ноутбуки Huawei,8
8,27,Велосипеды STELS,12
8,89,Газонокосилки Champion,6
6,61,Туристические рюкзак,8
7,20,Телевизоры Samsung,10
8,54,Велосипеды Stark,8
6,56,Наушники Xiaomi,7
7,75,Холодильники Atlant,7
8,40,Кофеварки и кофемашины Bosch,15
8,48,Планшеты Xiaomi,10
8,14,Планшеты Lenovo,10
6,32,Микроволновые печи Gorenje,11
8,54,Наручные часы Xiaomi,11
6,15,Кофеварки и кофемашины Bosch,12
7,64,Парфюмерия Fragrance World,8
6,58,Парфюмерия SHAIK,11
7,100,Умные часы и браслеты Apple,6
8,22,Смартфоны Huawei,8
8,93,Вентиляторы Equation,10
6,17,Наручные часы Apple,13
7,40,Кондиционеры ROYAL Clima,9
8,59,Путешестви,12
7,6,Вентиляторы Ballu,7
7,24,Путешестви,14
8,55,Кофеварки и кофемашины Bosch,10
7,36,Наушники JBL,12
7,55,Гироскутеры Zaxboard,11
8,30,Туристические рюкзак,9
7,35,Смартфоны Xiaomi,8
6,80,Ролик,13
8,88,Газонокосилки Champion,14
6,35,Ноутбуки Apple,14
8,94,Наручные часы Traser,14
8,40,Наручные часы Jacques Lemans,8
6,102,Холодильники Beko,5
7,28,Велосипеды Novatrack,15
7,18,Велосипеды Novatrack,12
6,48,Планшеты Apple,5
6,6,Планшеты BQ,8
6,80,Наручные часы Apple,11
6,76,Холодильники Beko,10
6,84,Холодильники LG,11
7,15,Телевизоры LG,10
6,62,Смартфоны Xiaomi,11
6,75,Палатки Alexika,11
7,2,Наручные часы Traser,6
8,44,Кондиционеры Electrolux,12
6,68,Экскурс,5
6,91,Вентиляторы Centek,8
6,64,Наручные часы Traser,15
6,59,Кондиционеры Hisense,11
8,86,Наушники JBL,11
8,14,Микроволновые печи Gorenje,8
7,32,Ноутбуки Acer,11
7,27,Планшеты Apple,12
7,24,Концерт,13
8,13,Умные часы и браслеты Xiaomi,13
8,101,Микроволновые печи Maunfeld,5
7,66,Умные часы и браслеты Apple,15
8,25,Парфюмерия SHAIK,12
8,60,Велосипеды Novatrack,16
8,64,Микроволновые печи Gorenje,10
6,45,Планшеты Xiaomi,16
7,49,Велосипеды Novatrack,13
8,37,Наручные часы Jacques Lemans,13
6,91,Планшеты Xiaomi,9
6,51,Вентиляторы Scarlett,11
6,54,Наушники JBL,10
6,69,Газонокосилки Champion,9
7,30,Ноутбуки Samsung:HP,16
6,31,Микроволновые печи Midea,7
8,64,Наушники Xiaomi,16
7,13,Микроволновые печи Maunfeld,8
7,77,Вентиляторы Ballu,11
8,15,Ноутбуки Asus,11
8,38,Наручные часы Traser,8
6,42,Ролик,15
7,23,Газонокосилки PATRIOT,10
7,73,Ноутбуки Huawei,11
6,50,Туристические рюкзак,12
7,60,Кондиционеры ROYAL Clima,9
7,13,Путешестви,8
8,64,Холодильники Beko,16
7,53,Палатки Alexika,6
7,39,Газонокосилки PATRIOT,17
7,40,Газонокосилки Huter,13
8,49,Газонокосилки Huter,13
7,97,Вентиляторы Ballu,11
6,14,Наушники Beats,9
7,6,Ролик,10
8,13,Палатки Alexika,14
6,92,Холодильники Atlant,9
6,91,Туристические рюкзак,10
6,51,Умные часы и браслеты Samsung,7
8,77,Газонокосилки Зубр,11
6,94,Вентиляторы Ballu,13
6,60,Наручные часы Jacques Lemans,16
6,12,Холодильники Beko,8
7,24,Палатки Tplus,7
7,60,Умные часы и браслеты Apple,13
7,5,Ноутбуки Acer,10
6,99,Газонокосилки Ресанта,7
7,39,Сериал,9
7,54,Парфюмерия Giorgio Armani,11
7,60,Холодильники Beko,11
7,28,Велосипеды Forward,6
6,52,Вентиляторы Centek,8
7,81,Велосипеды Stark,12
7,83,Вентиляторы Equation,10
8,79,Велосипеды Stinger,9
6,4,Планшеты Samsung,15
6,71,Гироскутеры Hoverbot,12
6,56,Ноутбуки Acer,11
7,46,Холодильники Nordfrost,9
7,76,Концерт,8
8,5,Кофеварки и кофемашины Bosch,7
7,77,Вентиляторы Centek,10
8,94,Велосипеды Forward,8
7,84,Холодильники Samsung,8
6,41,Вентиляторы Scarlett,10
8,91,Велосипеды STELS,9
8,6,Газонокосилки Champion,11
8,24,Умные часы и браслеты Apple,6
7,71,Палатки Tplus,6
7,89,Путешестви,15
7,72,Ноутбуки Samsung:HP,9
8,13,Наручные часы Jacques Lemans,8
7,28,Холодильники Beko,9
7,69,Холодильники LG,12
8,48,Парфюмерия SHAIK,10
6,11,Микроволновые печи Maunfeld,9
7,13,Экскурс,9
8,32,Наушники Beats,10
7,95,Наручные часы Apple,11
6,90,Наушники Apple,10
7,70,Планшеты Samsung,18
6,24,Ролик,8
7,80,Кофеварки и кофемашины DeLonghi,8
6,83,Наушники Beats,6
8,68,Гироскутеры GT,9
7,100,Наушники Xiaomi,7
8,41,Умные часы и браслеты Apple,10
7,35,Наручные часы Apple,12
7,92,Купальник,10
8,48,Ноутбуки Huawei,8
8,56,Надувные бассейн,6
7,48,Холодильники Samsung,11
6,94,Палатки High Peak,7
8,20,Планшеты Lenovo,16
6,22,Кондиционеры Haier,13
8,90,Наручные часы Casio,12
7,93,Планшеты Xiaomi,8
6,91,Велосипеды STELS,15
8,66,Кондиционеры Hisense,17
7,75,Палатки Talberg,8
6,93,Кондиционеры ROYAL Clima,5
8,20,Чемодан,9
8,4,Ноутбуки Acer,7
7,59,Вентиляторы Centek,13
7,59,Ноутбуки Samsung:HP,9
7,89,Кондиционеры Ballu,9
7,56,Наручные часы Casio,11
8,43,Путешестви,10
6,89,Палатки Tplus,10
7,6,Смартфоны Huawei,16
8,26,Кондиционеры Electrolux,10
7,24,Вентиляторы Equation,11
6,48,Наручные часы Traser,10
6,45,Экскурс,11
7,56,Ноутбуки Xiaomi,15
7,18,Наручные часы Xiaomi,12
7,83,Наручные часы Jacques Lemans,9
7,66,Гироскутеры GT,15
8,21,Сумк,10
7,11,Концерт,9
8,16,Холодильники Beko,10
8,43,Вентиляторы Equation,9
6,31,Планшеты Samsung,5
8,95,Наушники Beats,15
6,82,Микроволновые печи Bosch,9
8,4,Парфюмерия SHAIK,8
8,47,Компьютерные кресл,10
8,14,Наушники Xiaomi,15
7,97,Концерт,9
8,63,Гироскутеры GT,11
8,42,Ролик,14
8,46,Ноутбуки Huawei,14
7,75,Планшеты Xiaomi,12
6,28,Кофеварки и кофемашины DeLonghi,13
7,80,Ноутбуки Lenovo,12
8,18,Планшеты BQ,8
7,6,Гироскутеры Zaxboard,10
6,96,Наушники Xiaomi,10
6,19,Планшеты Huawei,15
7,48,Вентиляторы Equation,7
7,59,Палатки Talberg,8
7,21,Телевизоры Xiaomi,10
6,53,Палатки High Peak,15
7,95,Газонокосилки Champion,11
6,33,Умные часы и браслеты Xiaomi,10
7,37,Вентиляторы Centek,11
6,95,Парфюмерия Killian,10
7,58,Ноутбуки Lenovo,19
7,47,Кофеварки и кофемашины TEENRA,9
7,61,Кофеварки и кофемашины Bosch,7
8,38,Вентиляторы Ballu,9
6,85,Палатки Tplus,8
6,95,Умные часы и браслеты Samsung,16
8,45,Кофеварки и кофемашины DeLonghi,11
7,20,Велосипеды STELS,11
8,12,Смартфоны Huawei,6
6,94,Кондиционеры Electrolux,10
6,39,Ноутбуки Acer,13
6,79,Вентиляторы Centek,7
7,6,Планшеты BQ,14
8,75,Наручные часы Casio,8
6,64,Наручные часы Xiaomi,8
6,92,Ноутбуки Asus,9
8,78,Велосипеды Novatrack,9
8,52,Планшеты Xiaomi,7
8,85,Наушники JBL,14
6,13,Телевизоры Samsung,10
7,42,Планшеты Samsung,11
6,35,Наручные часы Apple,8
6,69,Планшеты Huawei,6
7,15,Гироскутеры Hoverbot,8
8,94,Ролик,18
6,77,Наручные часы Apple,10
8,12,Гироскутеры Hoverbot,10
7,20,Холодильники Samsung,8
8,67,Наушники Xiaomi,13
6,70,Вентиляторы Scarlett,12
7,99,Велосипеды Forward,11
6,51,Планшеты Lenovo,12
7,55,Экскурс,14
7,46,Ноутбуки Acer,15
7,65,Концерт,6
7,87,Холодильники Samsung,13
7,55,Смартфоны Xiaomi,11
6,48,Ноутбуки Samsung:HP,13
8,85,Вентиляторы Ballu,6
7,18,Телевизоры Xiaomi,15
8,94,Велосипеды Novatrack,6
7,22,Велосипеды Stinger,9
7,12,Чемодан,5
6,36,Ролик,7
6,60,Экскурс,11
6,68,Концерт,13
7,83,Смартфоны Samsung,9
7,93,Кофеварки и кофемашины DeLonghi,12
6,30,Палатки BTrace,11
7,12,Гироскутеры Hoverbot,7
7,101,Кондиционеры Electrolux,5
6,33,Вентиляторы Ballu,6
6,71,Кондиционеры Hisense,7
8,70,Наручные часы Apple,10
6,23,Наушники JBL,8
8,25,Палатки High Peak,11
7,74,Парфюмерия Killian,12
6,30,Планшеты Samsung,9
6,16,Газонокосилки Ресанта,6
8,60,Холодильники Бирюса,8
6,72,Смартфоны Samsung,8
6,34,Ролик,12
7,35,Вентиляторы Ballu,14
7,82,Наручные часы Jacques Lemans,11
8,86,Компьютерные кресл,9
6,64,Наушники Apple,13
8,3,Ноутбуки Samsung:HP,5
6,75,Сумк,8
7,73,Наушники Apple,15
6,88,Вентиляторы Equation,12
8,13,Планшеты Apple,9
6,52,Ноутбуки Lenovo,12
8,3,Наручные часы Traser,5
8,84,Кондиционеры Haier,11
7,18,Холодильники Samsung,16
6,95,Концерт,9
8,84,Ролик,8
6,11,Сериал,10
6,55,Планшеты Lenovo,10
7,48,Умные часы и браслеты Samsung,12
6,85,Наручные часы Casio,5
7,94,Телевизоры LG,5
8,69,Телевизоры Samsung,9
8,46,Велосипеды Forward,8
7,81,Палатки Talberg,7
8,61,Газонокосилки PATRIOT,14
7,22,Ноутбуки Samsung:HP,5
8,20,Кин,12
8,29,Палатки BTrace,5
7,58,Наушники Beats,7
6,18,Холодильники Atlant,9
8,60,Холодильники Nordfrost,9
7,99,Газонокосилки Зубр,7
6,8,Надувные бассейн,7
6,57,Холодильники Atlant,12
8,18,Микроволновые печи Gorenje,14
8,24,Наручные часы Casio,10
7,101,Микроволновые печи Maunfeld,6
7,101,Велосипеды STELS,5
6,18,Газонокосилки Champion,10
6,17,Вентиляторы Equation,6
6,23,Планшеты Lenovo,13
8,55,Смартфоны Xiaomi,8
8,13,Вентиляторы Scarlett,18
8,65,Ноутбуки Lenovo,8
6,22,Ноутбуки Xiaomi,11
7,88,Кондиционеры Haier,13
7,94,Наручные часы Casio,11
7,89,Экскурс,11
6,46,Парфюмерия SHAIK,11
8,54,Парфюмерия Giorgio Armani,15
7,11,Палатки Alexika,12
8,15,Телевизоры Samsung,7
7,68,Смартфоны Apple,10
7,74,Палатки Talberg,9
8,72,Газонокосилки Зубр,7
6,7,Вентиляторы Centek,11
8,60,Вентиляторы Equation,10
7,2,Наушники Apple,8
7,51,Наручные часы Casio,11
7,44,Гироскутеры MiniPro,14
8,75,Микроволновые печи Bosch,9
7,62,Путешестви,11
6,69,Наручные часы Apple,10
6,66,Наушники Beats,9
7,20,Велосипеды Forward,7
6,52,Велосипеды STELS,11
8,91,Компьютерные кресл,9
7,9,Сумк,12
8,3,Сериал,7
6,43,Парфюмерия Killian,7
7,34,Велосипеды STELS,14
6,29,Газонокосилки Champion,11
6,12,Кондиционеры Haier,10
8,38,Кондиционеры Haier,15
8,100,Холодильники Beko,7
6,24,Кондиционеры ROYAL Clima,11
7,83,Ноутбуки Acer,14
8,98,Смартфоны Huawei,7
6,43,Планшеты Lenovo,11
7,53,Кофеварки и кофемашины DeLonghi,9
7,81,Кофеварки и кофемашины Bosch,11
